incident_type,incident_date,incident_location,incident_description,offender_info,user_reaction,evidence
댓글에 성적 모욕적인 발언을 한 경우,2024-01-31 13:33:16.035312,Naver,"Naver를 사용하는 중, 성적인 내용이 포함된 댓글이 특정 게시물에 달리면서 상황이 격화되었다. 그후, 익명의 사용자가 '내가 널 그냥 두지 않을 거다.'라는 댓글을 남겼다.",익명,상대방을 설득하려 했다,대화 기록
게시판에서 상대방을 조롱한 경우,2024-11-02 13:33:16.035312,Facebook,"Facebook를 사용하는 중, 토론에서 의견 충돌이 발생하면서, 상대방을 비하하거나 조롱하는 방식으로 대응했다. 그후, 익명의 사용자가 '너가 그런 걸 한다고? 정말 웃기다.'라는 조롱 글을 작성했다.",익명,친구 및 가족과 상의했다,파일 첨부
이메일로 협박 메시지를 보낸 경우,2024-07-13 13:33:16.035312,TikTok,"TikTok를 사용하는 중, 상대방의 행동에 대한 불만을 표출하면서 협박적인 언어를 포함한 이메일을 보냈다. 그후, 익명의 사용자가 '만약 네가 다시 그런 짓을 하면 가만두지 않을 거야.'라는 협박 이메일을 보냈다.",익명,경찰이나 전문기관에 연락했다,파일 첨부
온라인 채팅에서 명예훼손 발언을 한 경우,2024-04-13 13:33:16.035312,Instagram,"Instagram를 사용하는 중, 온라인 채팅에서 상대방의 명예를 훼손하는 발언이 오갔다. 그후, 익명의 사용자가 '내가 널 그냥 두지 않을 거다.'라는 댓글을 남겼다.",익명,해당 내용을 스팸으로 분류했다,스크린샷
온라인 채팅에서 명예훼손 발언을 한 경우,2023-12-18 13:33:16.035312,Instagram,"Instagram를 사용하는 중, 불편한 상황에서 상대방을 비방하거나 허위 사실을 유포하며 명예훼손을 저질렀다. 그후, 익명의 사용자가 '내가 널 그냥 두지 않을 거다.'라는 댓글을 남겼다.",익명,법적 조치를 고민 중이다,디지털 서명
온라인 채팅에서 명예훼손 발언을 한 경우,2024-05-02 13:33:16.035312,KakaoTalk,"KakaoTalk를 사용하는 중, 상대방에 대해 사실과 다른 부정적인 정보를 퍼뜨리면서 명예훼손 발언을 했다. 그후, 익명의 사용자가 '너 그만해, 계속 이렇게 나가면 큰일 난다.'라는 댓글을 남겼다.",익명,온라인에서 문제를 공유했다,서면 증언
이메일로 협박 메시지를 보낸 경우,2024-07-25 13:33:16.035312,Facebook,"Facebook를 사용하는 중, 비즈니스에서의 갈등으로 이메일을 통해 협박성 메시지를 전달한 후 상황이 악화되었다. 그후, 익명의 사용자가 '너, 잘못 건드렸어. 이제 시작이야.'라는 협박 이메일을 보냈다.",익명,법적 조치를 고민 중이다,대화 기록
온라인 채팅에서 명예훼손 발언을 한 경우,2024-07-10 13:33:16.035312,Instagram,"Instagram를 사용하는 중, 불편한 상황에서 상대방을 비방하거나 허위 사실을 유포하며 명예훼손을 저질렀다. 그후, 익명의 사용자가 '내가 널 그냥 두지 않을 거다.'라는 댓글을 남겼다.",익명,무시했으나 불안감을 느꼈다,하드웨어 디바이스 기록
이메일로 협박 메시지를 보낸 경우,2024-10-21 13:33:16.035312,Instagram,"Instagram를 사용하는 중, 비즈니스에서의 갈등으로 이메일을 통해 협박성 메시지를 전달한 후 상황이 악화되었다. 그후, 익명의 사용자가 '너에게 벌어질 일을 상상할 수 있어?'라는 협박 이메일을 보냈다.",익명,플랫폼의 이용 정책을 확인했다,계정 활동 기록
댓글에 성적 모욕적인 발언을 한 경우,2024-09-12 13:33:16.035312,Twitter,"Twitter를 사용하는 중, 소셜 미디어에서 상대방의 성적 지향이나 외모를 성적으로 모욕하는 발언을 남겼다. 그후, 익명의 사용자가 '내가 널 그냥 두지 않을 거다.'라는 댓글을 남겼다.",익명,명예훼손을 주장했다,웹페이지 캐시
메신저에서 욕설을 사용한 경우,2024-07-26 13:33:16.035312,YouTube,"YouTube를 사용하는 중, 두 사람 간의 대화에서 의견 차이가 심해지고, 감정적으로 대응하면서 욕설이 등장했다. 그후, 익명의 사용자가 '왜 이렇게 쓸모없는 놈이냐?'라는 메시지를 보냈다.",익명,상황을 캡처하고 저장했다,대화 기록
이메일로 협박 메시지를 보낸 경우,2024-04-02 13:33:16.035312,Twitter,"Twitter를 사용하는 중, 불만을 품은 사용자가 이메일을 통해 명확한 협박을 포함한 메시지를 보냈다. 그후, 익명의 사용자가 '너한테 어떤 일이 생기면 내가 책임지지 않아.'라는 협박 이메일을 보냈다.",익명,감정을 드러내지 않으려 노력했다,위치 정보
