incident_type,incident_date,incident_location,incident_description,offender_info,user_reaction,evidence
중고거래 사기,2024-04-03,North Judithbury,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Noah Rhodes / +1-196-001-3389,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2022-12-14,Lake Debra,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Connie Lawrence / 2654235116,판매자를 계속 추궁했으나 결과가 없었습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2023-02-07,Melanieview,물품이 설명과 다르거나 상태가 좋지 않습니다.,Monica Herrera / (184)959-3103x4131,신고를 결심했습니다.,증거가 없습니다.
중고거래 사기,2023-09-15,Shawnstad,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Henry Santiago / 001-192-832-7648x350,포기하고 다른 사람과 거래를 시도했습니다.,증거가 없습니다.
중고거래 사기,2023-05-20,Port Leslieview,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Thomas Bradley / 001-537-672-4238x849,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2023-10-22,Coxberg,지불 후 판매자가 더 많은 돈을 요구했습니다.,Ann Williams / 226-916-6978,상대방에게 여러 번 연락을 시도했지만 응답이 없습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2023-06-07,Lake Jenniferside,거래 대금을 지불했지만 물품이 배송되지 않았습니다.,Patricia Peterson / 627-048-2814x8932,신고를 결심했습니다.,거래 내용이 포함된 문자 메시지 대화 기록이 있습니다.
중고거래 사기,2023-09-10,New Stephanie,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Tamara George / 015.430.3911x7182,경찰서에 방문하여 상담을 받았습니다.,송금 내역 스크린샷이 있습니다.
중고거래 사기,2023-03-03,Arroyoburgh,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Shane Henderson / 834.657.8713,신고를 결심했습니다.,증거가 없습니다.
중고거래 사기,2023-05-17,West Andrewside,계좌로 송금했지만 판매자가 입금 사실을 부인합니다.,Daniel Jones / +1-031-051-8347x3829,포기하고 다른 사람과 거래를 시도했습니다.,운송장 번호와 대화 기록이 있습니다.
중고거래 사기,2024-02-14,Sanchezfort,지불 후 판매자가 더 많은 돈을 요구했습니다.,Cheryl Davis / (566)701-0651x33387,신고를 결심했습니다.,상대방의 전화번호와 계좌번호가 있습니다.
중고거래 사기,2023-03-12,Whitemouth,가짜 송장번호를 주고 물품을 보내지 않았습니다.,Thomas Ramos / +1-108-013-2677,판매자를 계속 추궁했으나 결과가 없었습니다.,송금 내역 스크린샷이 있습니다.
